tag_ident,gender,date,hour,season,day-month,distance
3897,f,10/31/2015,2,Autumn,31-Oct,1417.490845
3897,f,10/31/2015,3,Autumn,31-Oct,1716.68128
3897,f,10/31/2015,19,Autumn,31-Oct,817.739417
3897,f,10/31/2015,20,Autumn,31-Oct,590.4425767
3897,f,10/31/2015,21,Autumn,31-Oct,1080.846123
3897,f,10/31/2015,22,Autumn,31-Oct,399.2082141
3897,f,10/31/2015,23,Autumn,31-Oct,649.6064164
3897,f,11/1/2015,0,Autumn,1-Nov,17.5112
3897,f,11/1/2015,1,Autumn,1-Nov,69.50266829
3897,f,11/1/2015,2,Autumn,1-Nov,162.4908139
3897,f,11/1/2015,3,Autumn,1-Nov,364.099405
3897,f,11/1/2015,19,Autumn,1-Nov,1559.243596
3897,f,11/1/2015,20,Autumn,1-Nov,156.1023581
3897,f,11/1/2015,21,Autumn,1-Nov,327.1599335
3897,f,11/1/2015,22,Autumn,1-Nov,367.2675765
3897,f,11/1/2015,23,Autumn,1-Nov,116.0976428
3897,f,11/2/2015,0,Autumn,2-Nov,405.4489061
3897,f,11/2/2015,1,Autumn,2-Nov,684.4069508
3897,f,11/2/2015,2,Autumn,2-Nov,570.0683344
3897,f,11/2/2015,3,Autumn,2-Nov,297.4793003
3898,m,5/21/2015,2,Spring,21-May,1577.73381
3898,m,5/21/2015,3,Spring,21-May,686.2190408
3898,m,5/21/2015,19,Spring,21-May,2116.057821
3898,m,5/21/2015,20,Spring,21-May,737.4775499
3898,m,5/21/2015,21,Spring,21-May,379.5880696
3898,m,5/21/2015,22,Spring,21-May,220.8415582
3898,m,5/21/2015,23,Spring,21-May,359.5500091
3898,m,5/22/2015,0,Spring,22-May,212.4335418
3898,m,5/22/2015,1,Spring,22-May,583.1767979
3898,m,5/22/2015,2,Spring,22-May,1814.228578
