tag_ident,Gender,Date,Hour,Distance,Season,month-day
1750,f,6/1/2011,18,123.4348865,Spring,1-Jun
1750,f,6/1/2011,19,228.3919989,Spring,1-Jun
1750,f,6/1/2011,20,232.1373076,Spring,1-Jun
1750,f,6/1/2011,21,150.4365744,Spring,1-Jun
1750,f,6/1/2011,22,20.86890625,Spring,1-Jun
1750,f,6/1/2011,23,179.5699954,Spring,1-Jun
1750,f,6/2/2011,0,90.0494814,Spring,2-Jun
1750,f,6/2/2011,1,142.4092201,Spring,2-Jun
1750,f,6/2/2011,2,87.06859594,Spring,2-Jun
1750,f,6/2/2011,3,101.3075832,Spring,2-Jun
1750,f,6/2/2011,4,2.362026667,Spring,2-Jun
1750,f,6/2/2011,17,71.48947666,Spring,2-Jun
1750,f,6/2/2011,18,36.20748561,Spring,2-Jun
1750,f,6/2/2011,19,149.8612778,Spring,2-Jun
1750,f,6/2/2011,20,269.1416047,Spring,2-Jun
1750,f,6/2/2011,21,705.0437408,Spring,2-Jun
1750,f,6/2/2011,22,970.5453857,Spring,2-Jun
1750,f,6/2/2011,23,837.4203499,Spring,2-Jun
1750,f,6/3/2011,0,998.2962719,Spring,3-Jun
1750,f,6/3/2011,1,355.3357517,Spring,3-Jun
1750,f,6/3/2011,2,81.00959193,Spring,3-Jun
1750,f,6/3/2011,3,141.2011384,Spring,3-Jun
1750,f,6/3/2011,4,0.794159843,Spring,3-Jun
1750,f,6/3/2011,20,166.3083572,Spring,3-Jun
1750,f,6/3/2011,21,287.80588,Spring,3-Jun
1750,f,6/3/2011,22,282.3702012,Spring,3-Jun
1750,f,6/3/2011,23,516.5523925,Spring,3-Jun
1750,f,6/4/2011,0,973.4036784,Spring,4-Jun
1750,f,6/4/2011,1,920.4841156,Spring,4-Jun
1750,f,6/4/2011,2,277.5288688,Spring,4-Jun
1750,f,6/4/2011,3,11.94736715,Spring,4-Jun
1750,f,6/4/2011,17,92.20579138,Spring,4-Jun
1750,f,6/4/2011,18,156.7438658,Spring,4-Jun
1750,f,6/4/2011,19,613.2892048,Spring,4-Jun
1750,f,6/4/2011,20,619.7374066,Spring,4-Jun
1750,f,6/4/2011,21,19.68999438,Spring,4-Jun
1750,f,6/4/2011,22,15.70033277,Spring,4-Jun
1750,f,6/4/2011,23,982.1438246,Spring,4-Jun
1750,f,6/5/2011,0,18.99678912,Spring,5-Jun
1750,f,6/5/2011,1,60.42803475,Spring,5-Jun
1750,f,6/5/2011,2,65.71905193,Spring,5-Jun
1750,f,6/5/2011,3,207.0761069,Spring,5-Jun
1750,f,6/5/2011,4,1.950317368,Spring,5-Jun
1750,f,6/5/2011,19,245.6821381,Spring,5-Jun
1750,f,6/5/2011,20,903.894861,Spring,5-Jun
1750,f,6/5/2011,21,951.6692596,Spring,5-Jun
1750,f,6/5/2011,22,644.3418912,Spring,5-Jun
1750,f,6/5/2011,23,1023.37722,Spring,5-Jun
1750,f,6/6/2011,0,735.272287,Spring,6-Jun
1750,f,6/6/2011,1,986.7141413,Spring,6-Jun
1750,f,6/6/2011,2,1122.414463,Spring,6-Jun
1750,f,6/6/2011,3,96.76195186,Spring,6-Jun
1750,f,6/6/2011,17,24.31147255,Spring,6-Jun
1750,f,6/6/2011,18,25.12092456,Spring,6-Jun
1750,f,6/6/2011,19,237.9201126,Spring,6-Jun
1750,f,6/6/2011,20,712.5349547,Spring,6-Jun
1750,f,6/6/2011,21,344.5826368,Spring,6-Jun
1750,f,6/6/2011,22,56.19102861,Spring,6-Jun
1750,f,6/6/2011,23,36.11900305,Spring,6-Jun
1750,f,6/7/2011,0,393.2845804,Spring,7-Jun
1750,f,6/7/2011,1,461.4096366,Spring,7-Jun
1750,f,6/7/2011,2,38.65487606,Spring,7-Jun
1750,f,6/7/2011,3,162.6026313,Spring,7-Jun
1750,f,6/7/2011,4,2.287738239,Spring,7-Jun
1750,f,6/7/2011,17,94.80972206,Spring,7-Jun
1750,f,6/7/2011,18,30.62340822,Spring,7-Jun
1750,f,6/7/2011,19,93.17111774,Spring,7-Jun
1750,f,6/7/2011,20,308.0782685,Spring,7-Jun
1750,f,6/7/2011,21,874.8331438,Spring,7-Jun
1750,f,6/7/2011,22,45.3275258,Spring,7-Jun
1750,f,6/7/2011,23,1107.223276,Spring,7-Jun
1750,f,6/8/2011,0,69.62411179,Spring,8-Jun
1750,f,6/8/2011,1,77.19541986,Spring,8-Jun
1750,f,6/8/2011,2,97.28802958,Spring,8-Jun
1750,f,6/8/2011,3,183.5838251,Spring,8-Jun
1750,f,6/8/2011,4,4.006936218,Spring,8-Jun
1750,f,6/8/2011,17,30.87830966,Spring,8-Jun
1750,f,6/8/2011,18,44.78906996,Spring,8-Jun
1750,f,6/8/2011,19,86.72433315,Spring,8-Jun
1750,f,6/8/2011,20,1860.984788,Spring,8-Jun
1750,f,6/8/2011,21,1288.914012,Spring,8-Jun
1750,f,6/8/2011,22,1042.775945,Spring,8-Jun
1750,f,6/8/2011,23,1355.554801,Spring,8-Jun
1750,f,6/9/2011,0,1517.532137,Spring,9-Jun
1750,f,6/9/2011,1,68.98124565,Spring,9-Jun
1750,f,6/9/2011,2,1730.115166,Spring,9-Jun
1750,f,6/9/2011,3,1038.353428,Spring,9-Jun
1750,f,6/9/2011,4,22.78608912,Spring,9-Jun
1750,f,6/9/2011,17,56.79055592,Spring,9-Jun
1750,f,6/9/2011,18,26.60773089,Spring,9-Jun
